Temperature	rate of A loss
K	mole/min
275	24.19186881
280	23.66394411
285	26.15820944
290	24.6574563
295	25.00508811
300	26.94417555
305	28.67903364
310	30.44936212
315	27.20013997
320	30.54380129
325	33.03536699
330	31.15565835
335	31.27551443
340	33.91974243
345	37.48514606
350	33.50134263
355	36.64441931
360	36.46332029
365	38.69182806
370	38.05063072
375	43.16253101
380	37.25767667
385	44.58886966
390	42.75867197
395	39.63742794
400	46.85519527
405	47.66919629
410	46.85518405
415	50.30943584
420	49.31384853
425	47.42591594
430	48.23446146
435	45.17432896
440	47.77558055
445	53.03878282
450	50.81683528
455	53.80978381
460	59.39248505
465	49.77457076
470	54.68613831
475	51.76229423
480	62.83727735
485	62.55782158
490	61.154597
495	63.0053821
500	65.97716135
505	63.41012081
510	63.49422067
515	59.27340383
520	65.16370016
525	65.39843186
530	67.05946168
535	65.32489229
540	68.30497862
545	60.15968814
550	72.99885721
555	71.30153437
560	72.98946148
565	71.34358752
570	76.57759892
575	64.02322481
580	69.63293674
585	71.56308449
590	77.33005372
595	76.53128357
600	67.78117885
605	75.5596295
610	68.58622212
615	73.75325163
620	70.39462181
625	78.58048128
630	69.57399579
635	80.03240924
640	79.78580967
645	73.9546149
650	86.75819311
655	84.66777524
660	74.32630227
665	83.97315699
670	87.45660552
675	88.40438575
680	89.77914146
685	88.63772944
690	76.95616572
695	79.64456149
700	76.84130113
705	88.41259094
710	83.6088328
715	94.04191326
720	83.48614643
725	86.46613599
730	81.23222068
735	88.55475482
740	84.90952318
745	85.61426008
750	91.20792284
755	97.16316071
760	87.53306857
765	85.33876956
770	83.61217189
775	85.88699278
780	90.24510154
785	90.96234918
790	94.88846974
795	102.9027719
800	93.04990123
805	90.60688637
810	94.70386442
